"YEAR","WK #","RENTAL CO.","TYPE OF EQUIP.","EQUIPMENT #","DESCRIPTION","RENT START","PROJ. END","PO #","SN REQ #","MO. RATE $","COMMENTS","PUBLISHED BY"
"2026","17","Brown Group","Truck Spreader","000631","TRUCK SPREADER HOPPER 8 FT 2 CU YD","01/26/2026","03/06/2026","PO-21086","RITM286951","$2027.38","?","admin"
"2026","17","Brown Group","Truck Spreader","001056","TRUCK SPREADER HOPPER 8 FT 2 CU YD","03/15/2026","11/02/2026","PO-18973","RITM667288","$2621.83","?","admin"
"2026","17","Brown Group","Truck Spreader","001218","TRUCK SPREADER HOPPER 8 FT 2 CU YD","01/16/2026","07/24/2026","PO-98307","RITM286580","$3932.49","?","admin"
"2026","17","Brown Group","Truck Spreader","001239","TRUCK SPREADER HOPPER 8 FT 2 CU YD","06/10/2026","11/28/2027","PO-83033","RITM193197","$2395.51","?","admin"
"2026","17","Brown Group","Pickup Truck","1GC1YLE70NF193498","TRUCK PICKUP 3/4 T CREW 4WD GAS","01/02/2026","03/27/2027","PO-61423","RITM850559","$913.00","?","admin"
"2026","17","Brown Group","Pickup Truck","1GC1YLE74MF216358","TRUCK PICKUP 3/4 T CREW 4WD GAS","06/27/2025","02/21/2026","PO-30359","RITM176757","$710.79","?","admin"
"2026","17","Brown Group","Pickup Truck","1GC1YLE78MF215164","TRUCK PICKUP 3/4 T CREW 4WD GAS","04/07/2025","08/14/2026","PO-43471","RITM278876","$1088.56","?","admin"
"2026","17","Brown Group","Pickup Truck","1GC1YLE79PF209488","TRUCK PICKUP 3/4 T CREW 4WD GAS","01/31/2025","12/11/2025","PO-10813","RITM184536","$961.72","?","admin"
"2026","17","Brown Group","Truck Snow","2476","TRUCK SNOW PLOW 7-8 FT","05/18/2026","07/12/2026","PO-96830","RITM721806","$1393.76","?","admin"
"2026","17","Brown Group","Truck Spreader","3754","TRUCK SPREADER HOPPER 8 FT 2 CU YD","10/29/2025","02/14/2026","PO-23341","RITM378093","$3698.61","?","admin"
"2026","17","Brown Group","Truck Snow","6174","TRUCK SNOW PLOW 7-8 FT","01/11/2026","05/11/2027","PO-26403","RITM122596","$1563.20","?","admin"
"2026","17","Brown Group","Truck Snow","7812","TRUCK SNOW PLOW 7-8 FT","06/23/2026","09/10/2026","PO-10334","RITM779820","$2951.46","?","admin"
"2026","17","Brown Group","Truck Snow","7837","TRUCK SNOW PLOW 7-8 FT","07/18/2025","11/24/2026","PO-39764","RITM669691","$1168.31","?","admin"
"2026","17","Brown Group","Air Compressor & Attachments","BG-1138","375 CFM Diesel Air Compressor","04/13/2026","06/13/2026","PO-2026-0488","?","$3200.00","?","admin"
"2026","17","Brown Group","Generator","BG-1139","800 kW Diesel Generator","04/15/2026","","PO-2026-0489","?","$14500.00","?","admin"
"2026","17","Brown Group","Scissor Lift","GS32P-157943","SCISSOR LIFT 26FT 32IN ELEC","05/08/2026","07/17/2026","PO-85957","RITM444918","$497.96","?","admin"
"2026","17","Brown Group","Truck Snow","M0532021290","TRUCK SNOW PLOW 7-8 FT","01/25/2025","10/01/2025","PO-69538","RITM924570","$3335.06","?","admin"
"2026","17","Brown Group","Truck Spreader","009999","TRUCK SPREADER HOPPER 8 FT 2 CU YD","04/21/2026","11/15/2026","PO-88888","RITM888888","$2100.00","?","admin"
