YEAR,WK #,RENTAL CO.,TYPE OF EQUIP.,EQUIPMENT #,DESCRIPTION,RENT START,PROJ. END,PO #,SN REQ #,MO. RATE $,COMMENTS,PUBLISHED BY
2026,1,Chung-Cannon,Air Dryer,AAAAAAAAAA,450 CFM Dryer,01/03/2026,02/06/2026,PO-70116,RITM656436,"$3,264.77 ",Linked Profile Entry,junior_super_01
2026,1,"Morales, Allen and Jones",Welding Equipment,WD5-001359,(2) 500 AMP Diesels,01/03/2026,02/13/2026,PO-18689,RITM758434,"$3,427.46 ",Linked Profile Entry,junior_super_01
2026,1,Harris LLC,Washer,10068,Aqueous Parts Washer - 4860,12/29/2025,06/04/2026,PO-48681,RITM786660,"$1,504.38 ",Linked Profile Entry,junior_super_01
2026,1,Marshall Group,Boom Lift,300135216 / 0300289362 (New unit),135ft Boom Lift with jib,12/31/2025,06/05/2026,PO-44289,RITM225842,"$1,168.70 ",Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Pickup Truck,2903,1/2 TON REG CAB,01/01/2026,02/11/2026,PO-43192,RITM848850,$821.03 ,Linked Profile Entry,junior_super_01
2026,1,Robbins and Sons,Crane,11956,Tadano GR-350XL-3,12/30/2025,03/08/2026,PO-25368,RITM226495,"$3,947.56 ",Linked Profile Entry,junior_super_01
2026,1,Nguyen Ltd,Forklift,AT14G50119,6500 PNEU DFP,12/30/2025,06/13/2026,PO-61002,RITM391940,"$3,143.28 ",Linked Profile Entry,junior_super_01
2026,1,Harris LLC,Washer,10104,Aqueous Parts Washer - 4860,12/30/2025,03/30/2026,PO-18265,RITM903711,"$3,904.74 ",Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Van,3312,CARGO VAN,01/04/2026,06/26/2026,PO-22789,RITM204943,"$3,615.43 ",Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Van,3321,MINIVAN,01/04/2026,04/09/2026,PO-84131,RITM356978,"$1,124.11 ",Linked Profile Entry,junior_super_01
2026,1,"Morales, Allen and Jones",Welding Equipment,ES2-001388,300AMP 4-Pack,12/29/2025,05/29/2026,PO-15799,RITM314727,"$1,860.76 ",Linked Profile Entry,junior_super_01
2026,1,Harris LLC,Rigging Equipment,HL-4412,Rigging Skid Package — Hydraulic Gantry 50T,12/30/2025,06/14/2026,PO-2026-0482,—,"$6,800.00 ",Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Telehandler,227R551 236RA3937,TH255,12/30/2025,04/10/2026,PO-39149,RITM226257,"$1,599.37 ",Linked Profile Entry,junior_super_01
2026,1,Nguyen Ltd,Forklift,AT19E50574,"9,000 PNEU DC",01/03/2026,02/19/2026,PO-18887,RITM876859,"$3,467.41 ",Linked Profile Entry,junior_super_01
2026,1,West Inc,Stake Bed Truck,020826,STAKE TRUCK FORD - F350 CREW CAB,01/04/2026,05/12/2026,PO-75104,RITM375258,"$1,871.93 ",Linked Profile Entry,junior_super_01
2026,1,West Inc,Light Tower,430042,LIGHT TOWER TEREX RL4,01/03/2026,02/14/2026,PO-68750,RITM411621,"$1,976.28 ",Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Stake Bed Truck,3618,14 STAKEBED CC,01/01/2026,06/17/2026,PO-19539,RITM668313,"$1,239.42 ",Linked Profile Entry,junior_super_01
2026,1,"Peterson, Kelly and Arnold",Pump,723229,PUMP-2 SUB PUMP-115V 1PH,01/01/2026,06/17/2026,PO-30902,RITM179384,"$1,367.93 ",Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Light Tower,2119R2021,4 Bulb Light Tower,01/03/2026,05/31/2026,PO-50943,RITM845429,"$1,658.85 ",Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Telehandler,X4438 217RA457,TL1255 attachment,01/03/2026,05/31/2026,PO-93586,RITM180803,$843.49 ,Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Pickup Truck,3198,1/2 TON CC 4X4,12/29/2025,04/19/2026,PO-63494,RITM759982,"$1,059.74 ",Linked Profile Entry,junior_super_01
2026,1,Griffin Ltd,Mobile Trailer,10850,36X10,01/03/2026,02/12/2026,PO-73523,RITM532139,"$2,674.59 ",Linked Profile Entry,junior_super_01
2026,1,Nguyen Ltd,Forklift,T23EF0001108,36000 PNEU DC,01/01/2026,03/24/2026,PO-98623,RITM465977,"$3,239.06 ",Linked Profile Entry,junior_super_01
2026,1,Nguyen Ltd,Walkie Pallet Stacker,98386914,4500 WALKIE,01/03/2026,02/11/2026,PO-89544,RITM850323,$519.35 ,Linked Profile Entry,junior_super_01
2026,1,Davidson PLC,Manlift,RR0580880,058-0880 135ft ART MANLIFT W/JIB,01/04/2026,03/17/2026,PO-22618,RITM844088,"$1,162.78 ",Linked Profile Entry,junior_super_01
2026,1,West Inc,Light Tower,430018,LIGHT TOWER TEREX RL4,01/04/2026,02/21/2026,PO-63525,RITM598853,"$1,599.40 ",Linked Profile Entry,junior_super_01
2026,1,"Peterson, Kelly and Arnold",Tank,253383,TANK MIXER COIL 4PDL 10HP CTD,01/02/2026,06/12/2026,PO-45392,RITM869586,"$9,165.62 ",Linked Profile Entry,admin
2026,1,Nguyen Ltd,Forklift,AT12B00097,8000 Pneu D,12/31/2025,03/31/2026,PO-73490,RITM282373,"$3,501.04 ",Linked Profile Entry,junior_super_01
2026,1,Nguyen Ltd,Forklift,AT82D90034,5000 SHORT MAST,12/30/2025,05/10/2026,PO-58133,RITM381066,"$2,005.45 ",Linked Profile Entry,junior_super_01
2026,1,West Inc,Dump Truck,160054,CATERPILLAR 745C ARTIC TRUCK,01/01/2026,04/13/2026,PO-75035,RITM551613,$566.40 ,Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Pickup Truck,3478,3/4 TON CC 4X4,12/30/2025,05/06/2026,PO-35944,RITM715074,$729.68 ,Linked Profile Entry,junior_super_01
2026,1,Nguyen Ltd,Forklift,AT35A07554,6000 Pneu LPG,12/31/2025,04/28/2026,PO-74501,RITM693717,"$2,780.51 ",Linked Profile Entry,junior_super_01
2026,1,Nunez Group,Sweeper,164,riding sweeper,12/29/2025,06/19/2026,PO-78952,RITM564401,"$3,998.80 ",Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Pickup Truck,2554,1 TON CC 4X4,12/31/2025,03/22/2026,PO-48519,RITM206063,"$2,315.81 ",Linked Profile Entry,admin
2026,1,Smith LLC,Stake Bed Truck,3563,12 CC STAKEBED,12/31/2025,06/03/2026,PO-20052,RITM806872,"$1,652.39 ",Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Scissor Lift,2118R3408,4732 Electric scissor lift,12/29/2025,01/29/2026,PO-74289,RITM529728,$583.36 ,Linked Profile Entry,junior_super_01
2026,1,Brown Group,Truck Spreader,001239,TRUCK SPREADER HOPPER 8 FT 2 CU YD,01/01/2026,05/17/2026,PO-83033,RITM193197,"$2,395.51 ",Linked Profile Entry,admin
2026,1,West Inc,Pickup Truck,600144,CHEVY 1500 CREW CAB 4X4,01/04/2026,03/16/2026,PO-22813,RITM447119,$899.48 ,Linked Profile Entry,junior_super_01
2026,1,West Inc,Loader,080141,LOADER CATERPILLAR - 988H,01/03/2026,06/13/2026,PO-54837,RITM132306,"$12,255.25 ",Linked Profile Entry,junior_super_01
2026,1,West Inc,Grader,090016,GRADER CATERPILLAR - 160M,01/03/2026,02/06/2026,PO-31739,RITM715031,"$1,114.10 ",Linked Profile Entry,junior_super_01
2026,1,West Inc,Pickup Truck,600053,DODGE CREW CAB,12/30/2025,02/26/2026,PO-63088,RITM726413,"$1,110.01 ",Linked Profile Entry,junior_super_01
2026,1,Nunez Group,Scrubber,209,sm riding scubber,12/30/2025,03/13/2026,PO-56072,RITM718115,$528.18 ,Linked Profile Entry,junior_super_01
2026,1,Robbins and Sons,Crane,K3701,JLG 600S,01/03/2026,04/09/2026,PO-22218,RITM244229,"$2,836.50 ",Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Telehandler,X4429 237RA811,TL1055 with forks attachment,12/30/2025,02/03/2026,PO-64690,RITM124606,"$1,698.67 ",Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Telehandler,X4436,TL1255,01/04/2026,03/07/2026,PO-70100,RITM869727,"$3,412.10 ",Linked Profile Entry,junior_super_01
2026,1,Smith LLC,Van,3447,CARGO VAN,12/29/2025,06/04/2026,PO-26822,RITM907133,"$2,147.61 ",Linked Profile Entry,junior_super_01
2026,1,Nguyen Ltd,Forklift,000H01127559,6000 TELEHANDLR,12/29/2025,05/03/2026,PO-51669,RITM146807,"$8,139.37 ",Linked Profile Entry,admin
2026,1,Smith LLC,Pickup Truck,3443,1/2 TON CC 4X4,01/03/2026,02/12/2026,PO-87088,RITM305598,$845.48 ,Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Scissor Lift,B07463,19 Electric scissor lift,12/31/2025,04/06/2026,PO-17330,RITM236566,$529.30 ,Linked Profile Entry,junior_super_01
2026,1,"Kelley, Acosta and Salazar",Light Tower,2119R2034,4 Bulb Light Tower,12/29/2025,02/24/2026,PO-81553,RITM924719,"$1,676.60 ",Linked Profile Entry,junior_super_01
